architecture,comparison,d_precision,d_precision_lo,d_precision_hi,d_recall,d_recall_lo,d_recall_hi,d_f1,d_f1_lo,d_f1_hi,p_one_sided_precision,p_one_sided_recall,p_one_sided_f1
CAML,ER - Original (self-ref),0.025505043161487613,0.014116287815487176,0.03745976779875064,0.0007868237298730089,-0.008607982041895213,0.010185599772400458,0.010613739714225174,0.001848032608741268,0.01952671060481375,0.0,0.862,0.02
CAML,EV - ER (self-ref),0.025774848837399455,0.014849286495032003,0.0373966028615632,0.028583412781197595,0.01926996964418172,0.03808320546685679,0.02787303667192667,0.019103631663673785,0.037246862646814254,0.0,0.0,0.0
CAML,EV - Original (self-ref),0.051429171186332924,0.03999016529503503,0.06272104745432734,0.02941918756727916,0.02071862970167893,0.03848233831115674,0.03857742823114668,0.030279079141864708,0.04713647524486045,0.0,0.0,0.0
CNN,ER - Original (self-ref),0.026959409426159424,0.0014098539582085659,0.055424084296094564,-0.045630402336502014,-0.053241539821862256,-0.03803970141765838,-0.01270369944543116,-0.025373369668544393,-0.0009995094496385232,0.035,0.0,0.03
CNN,EV - ER (self-ref),0.02302590286256873,0.0034872537682694793,0.04724604839704864,0.029822793133328918,0.023223498356309477,0.036110615110865225,0.027315224346615857,0.016356799993852606,0.03872330872134118,0.017,0.0,0.0
CNN,EV - Original (self-ref),0.04990908390707149,0.024092195705944223,0.0797963388295558,-0.016029749849211506,-0.022669377322259956,-0.009353337024678474,0.014507114306320621,0.004978703507815959,0.024892232411630695,0.0,0.0,0.003
LAAT,ER - Original (self-ref),0.023244193929182026,0.00892812632419691,0.03932374345164092,0.03984131430936258,0.030601527425092714,0.049452274237334004,0.03429698973544864,0.024961216445268098,0.04426855557085864,0.002,0.0,0.0
LAAT,EV - ER (self-ref),0.010679601682817296,-0.0033119012335963705,0.024476897772984733,-0.01755159421473013,-0.02600766967406806,-0.008771829820497453,-0.0073010184509080065,-0.016430250292640496,0.002006923605755644,0.136,0.001,0.118
LAAT,EV - Original (self-ref),0.03382985445009369,0.020392365112021214,0.04731152148261559,0.022368197442201716,0.013944250778098579,0.030900889198269513,0.02701615814814793,0.018523437863851952,0.03576354622265582,0.0,0.0,0.0
MultiResCNN,ER - Original (self-ref),0.09660344300518131,0.08130180814216732,0.11142793641378015,-0.017013167884080624,-0.02610106923909638,-0.007902044895958893,0.018445151467910745,0.009249552017672585,0.028109642508416802,0.0,0.0,0.002
MultiResCNN,EV - ER (self-ref),0.007915242969021878,-0.00527317326862789,0.021693640456730234,0.05735097410283079,0.04989921075481868,0.06477528402397412,0.04537664202896329,0.03748165482276893,0.053085258586054354,0.256,0.0,0.0
MultiResCNN,EV - Original (self-ref),0.1040612773024235,0.0915105140079308,0.11537569135338313,0.04016224603656841,0.03149530961578338,0.04889655241630382,0.06356711795999466,0.05469435245744615,0.0721096603953073,0.0,0.0,0.0
RNN,ER - Original (self-ref),0.014025737376526317,0.001668795282721848,0.02597400231654381,-0.031782607906417196,-0.03899420334756352,-0.024639613782623263,-0.016899533987828466,-0.025195055666611343,-0.008871338115865426,0.024,0.0,0.0
RNN,EV - ER (self-ref),0.033082180824636015,0.02046558059015091,0.04601524200285359,0.024502748749370935,0.017172133994778783,0.032292490241837016,0.02825406488084464,0.020037156812809053,0.03647248751617648,0.0,0.0,0.0
RNN,EV - Original (self-ref),0.047325959436399445,0.03489316988870783,0.05966700760325221,-0.007405463936536685,-0.015208770764706054,0.000419179254106833,0.01133063353735141,0.0028869177193062297,0.019890914090613245,0.0,0.062,0.007
