architecture,trained_on,folder,threshold,precision,precision_lo,precision_hi,recall,recall_lo,recall_hi,f1_micro,f1_lo,f1_hi
CAML,ER,b1tl66nj,0.28,0.46627292508548335,0.4534481332478554,0.4796663017822324,0.36509675063891933,0.3534267291795026,0.37665897911560287,0.40952835983891883,0.3988283746365533,0.42074179271061846
CAML,EV,05cvm0pf,0.28,0.4921615917998191,0.47973333009756125,0.5056284412993536,0.3937530149541727,0.38212151615643564,0.40551885067518145,0.4374916253517352,0.42660550197416,0.448394359921559
CAML,Original,p9hj5xe1,0.24000000000000002,0.44073912092718126,0.42997798415735183,0.4518457816457527,0.3642689318633653,0.35381665004985047,0.37446032376050276,0.39887195725311697,0.38902803109455747,0.40849271688658956
CNN,ER,mlpgnhsf,0.38,0.24877899877899878,0.18512090117022853,0.3269707484049306,0.19836923451381283,0.18823447643290364,0.20804939654625773,0.22073261561378563,0.19064819515484258,0.24894906072748216
CNN,EV,qj24zl5u,0.34,0.2716049382716049,0.20068343277569278,0.3533672098606886,0.22817173178967678,0.21795316762113837,0.23782089304752213,0.24800104863022676,0.21307426841133117,0.2785744370141368
CNN,Original,o91zacs0,0.28,0.22386081193040597,0.17612731604070134,0.2836453558117859,0.24417133562262786,0.2354300806063473,0.25411549563780667,0.23357538035961273,0.20480794302992264,0.262704403648816
LAAT,ER,5rj0tg1v,0.31,0.501466275659824,0.4870683683824555,0.5153442557380208,0.3953997809419496,0.38348559762572554,0.40763299530498137,0.4421611322808927,0.4306080347616477,0.45366665869902056
LAAT,EV,kqo0vsqc,0.34,0.5120915032679738,0.49794615882904686,0.5277019821787036,0.37795465508924264,0.36565642092835743,0.38996040406168786,0.4349153483208437,0.4226978775818464,0.44720565099653853
LAAT,Original,8i9s77f0,0.32,0.4783031481706576,0.46320019923083333,0.492925684082793,0.3555937104644858,0.3454135100822544,0.3668949039222053,0.40791997097392835,0.3975131844772249,0.4185616715609826
MultiResCNN,ER,974v2pcx,0.33,0.5209418628881017,0.50337877141324,0.537264843956422,0.3042472921990994,0.29218973965323497,0.31605735022380027,0.3841425937307929,0.37177071503473386,0.3967874105590134
MultiResCNN,EV,xxl6md4r,0.37,0.5286545582789631,0.5141113976264595,0.5429447432266982,0.3615533043897733,0.34948947552300713,0.37269628300817015,0.4294206116164148,0.4175873729202693,0.44085055385933547
MultiResCNN,Original,yz8bpcmd,0.22,0.42444497493435185,0.4129536324824686,0.43584909675805783,0.3213446593168263,0.3102742496479207,0.3321035885628885,0.36576836041966676,0.3558783987448647,0.37528187913072336
RNN,ER,rmxrgnnu,0.18000000000000002,0.3481024490558983,0.33483026139177324,0.361747423001401,0.22660338322988927,0.21571450564780295,0.2371567219529371,0.2745098039215686,0.263221140417846,0.28503680391266334
RNN,EV,lrjwycyo,0.21000000000000002,0.3813186813186813,0.36698811505317275,0.3955952308181329,0.25108538350217074,0.24017985580710347,0.26164913196764994,0.30279232111692844,0.29137180443466687,0.31410481226931986
RNN,Original,9fd18hoi,0.17,0.3341899310828174,0.3242939332874154,0.3443838071989442,0.25853967106452197,0.24887755377696646,0.2682408660282833,0.2915371681866816,0.2820389012558994,0.3008797217100019
